Month,Return,USD Raised,name,whitepaper
Jan 2018,0.42x,"$30,000,000.00",Shipchain,
Feb 2018,,"$16,051,025.00",Biocoin,
Apr 2017,,"$10,000,000.00",Blockchain Capital Fund,
Feb 2017,1.70x,"$5,400,000.00",ChronoBank,
Mar 2018,,"$2,500,000.00",AB Chain,
Apr 2018,,"$737,476.00",Unolabo,
Nov 2017,,"$20,781.00",PROPX,
Jan 2018,,,DataTrading,
Mar 2018,,,Titan Coin,
Sep 2017,,,Daseron,
,,,NEX,
Dec 2017,,,Share Estate,
Jan 2018,,,CorCom Matrix,
Jan 2018,,,AAA Coin,
Mar 2018,,,Silver Bit,
Mar 2018,,,PECULIUM,
Oct 2017,,,PlusCoin,
Nov 2017,,,Elite 888,
Sep 2017,,,Karbon,
Oct 2017,,,Bibox,
Dec 2017,,,SINTEZ,
,,,ForgeNet,
